"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_HYPOXIA",0.000935695113741531,0.00791643686652067,0.477270815362862,-0.50681989875122,-1.84599516015408,44,"c(""NFIL3"", ""DUSP1"", ""AMPD3"", ""SLC2A5"", ""PCK1"", ""P4HA2"", ""WSB1"", ""CDKN1B"", ""FOSL2"", ""PIM1"", ""PHKG1"", ""BTG1"", ""TPI1"", ""CAV1"", ""TNFAIP3"", ""PRDX5"", ""BCL2"")"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0147087219216813,0.0355460779773964,0.380730400722792,-0.616570597301206,-1.66592515730373,14,"c(""PTPN11"", ""STAM2"", ""IL6ST"", ""ACVRL1"", ""GRB2"", ""PIM1"", ""CSF3R"", ""MYD88"")"
"HALLMARK_INFLAMMATORY_RESPONSE",0.000338704699551458,0.00491121814349614,0.49849310876659,-0.551569843795951,-1.88708503394972,35,"c(""NMUR1"", ""RTP4"", ""ABCA1"", ""DCBLD2"", ""TIMP1"", ""GCH1"", ""NFKB1"", ""ATP2A2"", ""GABBR1"", ""CSF3R"", ""NPFFR2"", ""PCDH7"", ""HRH1"", ""MXD1"", ""TLR3"")"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.946695095948827,0.946695095948827,0.0511147954416412,0.187815361028347,0.611405571532666,26,"c(""PSMA3"", ""RSAD2"", ""PNPT1"", ""MOV10"", ""NUB1"", ""CMPK2"", ""CMTR1"")"
"HALLMARK_KRAS_SIGNALING_DN",0.233521657250471,0.307824002739257,0.121543282035469,-0.316906266233031,-1.13996083500338,42,"c(""EPHA5"", ""SLC6A3"", ""MFSD6"", ""WNT16"", ""ABCB11"", ""CPA2"", ""RYR2"", ""TENM2"", ""KLK7"", ""SHOX2"")"
"HALLMARK_KRAS_SIGNALING_UP",0.0361410659507771,0.074863636612324,0.321775918075361,-0.402266615993541,-1.49917707444006,49,"c(""SPON1"", ""DCBLD2"", ""FBXO4"", ""ID2"", ""TRIB2"", ""TSPAN7"", ""SCG5"", ""SNAP25"", ""PTGS2"", ""CAB39L"", ""USH1C"", ""IGF2"", ""TNFAIP3"", ""TPH1"", ""TSPAN1"")"
"HALLMARK_MYC_TARGETS_V2",0.00193787251559789,0.0093663838253898,0.45505986738723,0.501835488150736,1.76918065458255,39,"c(""MCM4"", ""LAS1L"", ""PLK4"", ""PUS1"", ""RCL1"", ""MCM5"", ""MYBBP1A"", ""NIP7"", ""IPO4"", ""WDR43"", ""PLK1"", ""RRP12"", ""TBRG4"", ""PES1"", ""PA2G4"", ""NDUFAF4"", ""RRP9"", ""MPHOSPH10"", ""GNL3"")"
"HALLMARK_MYOGENESIS",0.0545112781954887,0.105388471177945,0.266350657088526,-0.393995770853679,-1.39290582724625,40,"c(""ERBB3"", ""EIF4A2"", ""KLF5"", ""FKBP1B"", ""CSRP3"", ""GADD45B"", ""FABP3"", ""TNNC1"", ""GABARAPL2"", ""SPTAN1"", ""TNNI1"", ""NAV2"", ""VIPR1"", ""GPX3"", ""AEBP1"", ""TNNT2"", ""MYH9"", ""PTP4A3"", ""PICK1"", ""ITGA7"")"
"HALLMARK_NOTCH_SIGNALING",0.859922178988327,0.890633685380767,0.0513223330421143,-0.263296784077832,-0.675842428974402,12,"c(""APH1A"", ""DLL1"", ""SKP1"", ""DTX1"")"
"HALLMARK_PANCREAS_BETA_CELLS",0.00461207281556864,0.0167187639564363,0.407017918923954,-0.661764069791838,-1.78803435793316,14,"c(""FOXA2"", ""SYT13"", ""SRP14"", ""PAX6"", ""NEUROD1"", ""PCSK2"", ""G6PC2"", ""AKT3"", ""STXBP1"", ""PAK3"", ""PCSK1"")"
"HALLMARK_PEROXISOME",0.226305609284333,0.307824002739257,0.12563992130984,-0.307899377123457,-1.15338957680878,50,"c(""ELOVL5"", ""CLN8"", ""DIO1"", ""PRDX5"", ""VPS4B"", ""ACOX1"", ""IDH2"", ""DHCR24"", ""ISOC1"", ""ABCB9"", ""BCL10"", ""SOD1"", ""ABCD2"")"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0054053257217562,0.0174171606589922,0.407017918923954,-0.48812845510709,-1.65080922422001,33,"c(""PTPN11"", ""CDKN1B"", ""TIAM1"", ""AP2M1"", ""GRB2"", ""SQSTM1"", ""TBK1"", ""DAPP1"", ""CAB39L"", ""ARF1"", ""PITX2"", ""MAP2K3"")"
"HALLMARK_PROTEIN_SECRETION",0.0107263012637286,0.0282784306043753,0.380730400722792,-0.41626542137341,-1.55932825419616,50,"c(""TMED2"", ""ABCA1"", ""M6PR"", ""AP2M1"", ""YIPF6"", ""ADAM10"", ""ARF1"", ""VPS4B"", ""YKT6"", ""CLN5"", ""CLCN3"", ""TMED10"", ""STX7"", ""ATP6V1H"", ""SOD1"", ""AP2S1"", ""COPB2"", ""ATP1A1"", ""TSPAN8"", ""RAB5A"", ""VPS45"", ""GOSR2"", ""IGF2R"", ""STX16"", ""RAB14"", ""ARCN1"", ""GOLGA4"", ""AP1G1"", ""VAMP4"", ""SNX2"", ""AP3S1"", ""PPT1"")"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.322160148975791,0.389276846679081,0.0999276973731092,-0.384822096625167,-1.0986300298915,17,"c(""ATOX1"", ""G6PD"", ""LAMTOR5"", ""SOD1"", ""NDUFS2"", ""GPX3"", ""MGST1"")"
"HALLMARK_SPERMATOGENESIS",0.00980645805994502,0.0282784306043753,0.380730400722792,0.424008607932792,1.57529007582997,49,"c(""TOPBP1"", ""DBF4"", ""NPHP1"", ""PARP2"", ""RFC4"", ""GMCL1"", ""BUB1"", ""SYCP1"", ""NEK2"", ""CSNK2A2"", ""CDKN3"", ""DMC1"", ""RAD17"", ""NF2"", ""GSTM3"", ""DDX4"")"
"HALLMARK_TGF_BETA_SIGNALING",0.517021276595745,0.576677577741408,0.0806388495950661,0.326980491560777,0.967341174652763,18,"c(""TGIF1"", ""TRIM33"", ""NCOR2"", ""BCAR3"")"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",3.86513465073116e-06,0.000112088904871204,0.610526878385931,-0.586812751944957,-2.14178321703461,45,"c(""NFIL3"", ""DUSP1"", ""PLK2"", ""GADD45A"", ""ABCA1"", ""TNIP2"", ""IL6ST"", ""FOSL2"", ""ID2"", ""GCH1"", ""NFKB1"", ""GADD45B"", ""BTG1"", ""SQSTM1"", ""PTGS2"", ""TNFAIP3"", ""MAP2K3"")"
"HALLMARK_UV_RESPONSE_DN",0.143133462282398,0.230603911454975,0.161978948883402,-0.336854165710154,-1.24148789305754,48,"c(""NR1D2"", ""DUSP1"", ""GCNT1"", ""INSIG1"", ""CDKN1B"", ""RUNX1"", ""NFKB1"", ""APBB2"", ""CAV1"", ""PRKAR2B"", ""COL5A2"", ""KCNMA1"", ""RND3"")"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.281720430107527,0.355212716222534,0.11776578836269,0.395225398551426,1.14294975552869,17,"c(""SKP2"", ""WNT6"", ""NCOR2"", ""AXIN1"")"
"GOBP_10_FORMYLTETRAHYDROFOLATE_METABOLIC_PROCESS",0.527054108216433,0.772996903715316,0.0764767053228531,0.652943917974212,1.00847323305617,2,"c(""ALDH1L2"", ""MTHFD1"")"
"GOBP_2FE_2S_CLUSTER_ASSEMBLY",0.979757085020243,0.990223602881583,0.0471642455670861,0.262781662781663,0.499013125526903,4,"c(""BOLA2B"", ""GLRX3"")"
"GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.538922155688623,0.778509367633399,0.0751181635276301,-0.392349937628346,-0.94172173945997,9,"c(""L2HGDH"", ""IDH2"")"
"GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_BIOSYNTHETIC_PROCESS",0.0345798388322534,0.230109263911264,0.321775918075361,-0.98058403230817,-1.31187223872492,1,"PAPSS2"
"GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS",0.533066132264529,0.776554243706839,0.0758886900606117,-0.415637193506104,-0.940158864432362,7,"c(""PAPSS2"", ""SULT1C4"", ""SULT1B1"", ""ABHD14B"")"
"GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.923076923076923,0.968162942456002,0.0498907356726307,0.309522818426229,0.587772934419329,4,"c(""MOV10"", ""UPF1"")"
"GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.433884297520661,0.721027108585777,0.0886261133285098,0.636334901249335,1.10264946903614,3,"c(""METTL16"", ""MAPK14"")"
"GOBP_5S_CLASS_RRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_III",0.0668016194331984,0.309929548195952,0.248911114434702,0.688914469534481,1.49779339192957,6,"c(""GTF3C6"", ""GTF3C4"", ""GTF3C1"", ""GTF3C3"", ""GTF3C2"")"
"GOBP_5_PHOSPHORIBOSE_1_DIPHOSPHATE_METABOLIC_PROCESS",0.412825651302605,0.707546585517922,0.0897104652742981,0.706540313810781,1.0912529773827,2,"c(""PRPS2"", ""PRPSAP1"")"
"GOBP_7_METHYLGUANOSINE_CAP_HYPERMETHYLATION",0.00986960040289325,0.120332895773213,0.380730400722792,0.882051282051282,1.67498432908971,4,"c(""TGS1"", ""SNRPD3"", ""SNRPD2"", ""SNRPD1"")"
"GOBP_7_METHYLGUANOSINE_RNA_CAPPING",0.396761133603239,0.696870739056806,0.0925528864684773,0.584701916355643,1.1103283527992,4,"c(""TGS1"", ""CMTR1"")"
"GOBP_ABSCISSION",0.137176938369781,0.422277515030644,0.16823816568964,-0.822715046579635,-1.2613835618322,2,"IST1"
"GOBP_ACETATE_ESTER_TRANSPORT",0.49034749034749,0.751229386760952,0.0782955249944794,-0.589962783031071,-1.02145851268981,3,"TACR2"
"GOBP_ACETYLCHOLINE_TRANSPORT",0.49034749034749,0.751229386760952,0.0782955249944794,-0.589962783031071,-1.02145851268981,3,"TACR2"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.299212598425197,0.613075907884396,0.107972360317345,-0.538241605036706,-1.1669418544867,6,"c(""PDHA1"", ""ACSS1"", ""PDK2"", ""MPC2"", ""ACAT1"")"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS_FROM_PYRUVATE",0.237451737451737,0.550807663410969,0.122107920287081,-0.703387197016781,-1.21784095670993,3,"c(""PDHA1"", ""PDK2"", ""MPC2"")"
"GOBP_ACETYL_COA_METABOLIC_PROCESS",0.807692307692308,0.918434847189478,0.0560595875032335,-0.297059535308567,-0.731568477671843,10,"c(""PDHA1"", ""ACSS1"", ""PDK2"", ""MPC2"", ""ACAT1"")"
"GOBP_ACIDIC_AMINO_ACID_TRANSPORT",0.0197097674745001,0.169500929689279,0.352487857583619,-0.498452957914127,-1.60242910547244,25,"c(""CLN8"", ""SLC6A1"", ""AVPR1A"", ""SLC1A1"", ""PER2"", ""GABBR1"", ""GRM1"", ""SLC1A6"", ""ARL6IP5"", ""ARL6IP1"", ""NF1"", ""RAB3GAP1"", ""STXBP1"", ""GRM7"", ""PSEN1"")"
"GOBP_ACID_SECRETION",0.00777585462872896,0.108463203026373,0.407017918923954,-0.67640979963173,-1.75293452044361,12,"c(""SNX10"", ""DRD2"", ""SLC6A1"", ""ABCB11"", ""GABBR1"")"
"GOBP_ACROSOMAL_VESICLE_EXOCYTOSIS",0.510934393638171,0.766533066132264,0.0776798560117236,-0.652322510486251,-1.00013837738997,2,"c(""STXBP1"", ""ZP4"")"
"GOBP_ACROSOME_ASSEMBLY",0.249512670565302,0.561562685811183,0.119348440591015,-0.503605879403409,-1.1974799989007,8,"c(""PLA2G3"", ""FABP9"", ""PAFAH1B1"", ""VPS13B"")"
"GOBP_ACROSOME_REACTION",0.44689378757515,0.728736341749491,0.0852884689790502,-0.448059985119575,-1.01349824652161,7,"c(""PCSK4"", ""STXBP1"", ""B4GALT1"", ""ZP4"", ""PLB1"")"
"GOBP_ACTIN_CROSSLINK_FORMATION",0.904858299595142,0.962437442348673,0.0508054139066364,0.331519474736545,0.629543810287757,4,"GAS2"
"GOBP_ACTIN_CYTOSKELETON_REORGANIZATION",0.684848484848485,0.858223073974703,0.0637845390312975,-0.258188860445307,-0.850037142068775,27,"c(""CDC42"", ""GRB2"", ""PTK7"", ""TRPV4"", ""EPS8"", ""NTRK3"", ""CDK5"", ""ATP2C1"", ""HMCN1"", ""MYH9"", ""BCAS3"", ""ABL1"")"
"GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",0.0152323574635761,0.150875423222965,0.380730400722792,-0.486710902672935,-1.63233428426048,31,"c(""SLC9A1"", ""KCND3"", ""PIK3CA"", ""MYO7A"", ""RYR2"", ""CACNA1G"", ""ATP2A2"", ""TNNC1"", ""CAV1"", ""CACNA2D1"", ""MYO1E"", ""NEDD4L"", ""MYO6"", ""ATP1A1"", ""TNNT2"", ""MYH9"", ""MYL6"")"
"GOBP_ACTIN_FILAMENT_BASED_TRANSPORT",0.82565130260521,0.927366087991537,0.0545680646670941,-0.308067894720956,-0.696840337183802,7,"c(""MYO7A"", ""MYO1E"", ""MYO6"")"
"GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.00413653083131837,0.0760655584981586,0.407017918923954,-0.456476745107766,-1.66984614844215,47,"c(""SLC9A1"", ""FHDC1"", ""LIMA1"", ""TGFBR1"", ""CDC42"", ""WNT11"", ""WNT4"", ""USH1C"", ""PLS3"", ""AIF1L"", ""FHOD1"", ""MTSS1"", ""EPS8"", ""STMN1"", ""SWAP70"", ""SYNPO2L"", ""SHROOM2"")"
"GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",0.0208295386636744,0.171050663133571,0.352487857583619,-0.589706102022454,-1.7014413949272,16,"c(""LIMA1"", ""PIK3CA"", ""TMOD1"", ""SPTBN5"", ""SPTAN1"", ""EPS8"", ""SPTBN1"", ""SWAP70"", ""CAPZA2"", ""SEMA5A"", ""TWF1"")"
"GOBP_ACTIN_FILAMENT_NETWORK_FORMATION",0.362204724409449,0.669253450592947,0.096240602328129,-0.592754529448201,-1.12797706178061,4,"c(""ARPC5"", ""PLS3"", ""FHOD1"")"
"GOBP_ACTIN_FILAMENT_REORGANIZATION",0.969111969111969,0.985478056568602,0.0454967810085007,-0.293039154754506,-0.507366477657373,3,"c(""HMCN1"", ""NEDD9"", ""ARAP1"")"
"GOBP_ACTIN_FILAMENT_SEVERING",0.534,0.776554243706839,0.0756946307932749,-0.728487107797453,-0.974604910441926,1,"MYH9"
"GOBP_ACTIN_MEDIATED_CELL_CONTRACTION",0.00151575526671677,0.044571398113185,0.45505986738723,-0.604768353442332,-1.89762143046672,22,"c(""SLC9A1"", ""KCND3"", ""PIK3CA"", ""RYR2"", ""CACNA1G"", ""ATP2A2"", ""TNNC1"", ""CAV1"", ""CACNA2D1"")"
"GOBP_ACTIN_MODIFICATION",0.355864811133201,0.665309284851979,0.0978773277424561,-0.728134224017399,-1.11637260653175,2,"c(""TWF1"", ""SETD3"")"
"GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING",0.222007722007722,0.534826244282106,0.126875729929857,-0.708669981354879,-1.22698754220322,3,"c(""TNNC1"", ""TNNT2"", ""MYL6"")"
"GOBP_ACTIN_NUCLEATION",0.4,0.699116465863454,0.0919686140000427,-0.339470712806569,-1.04850177630512,21,"c(""FCHSD2"", ""ARF1"", ""NCKAP1"", ""AP1AR"", ""ARPC5"", ""ARPC2"", ""ACTR2"")"
"GOBP_ACTIN_POLYMERIZATION_DEPENDENT_CELL_MOTILITY",0.0984555984555985,0.358659680088251,0.197822021315103,-0.802862099288608,-1.39007128826153,3,"c(""EPS8"", ""ARPC2"")"
"GOBP_ACTION_POTENTIAL",0.000970414363764774,0.0328231345422614,0.477270815362862,-0.564860013108256,-1.89443129410239,31,"c(""SLC9A1"", ""KCND3"", ""FKBP1B"", ""RYR2"", ""CACNA1G"", ""ATP2A2"", ""DRD1"", ""CAV1"", ""CACNA2D1"", ""KCNB1"", ""HCN3"", ""CNTNAP1"", ""NEDD4L"", ""KCNH7"", ""ATP1A1"", ""CHRNA4"")"
"GOBP_ACTIVATED_T_CELL_PROLIFERATION",0.061849683304695,0.29797504322076,0.321775918075361,-0.654518920025081,-1.5563228065578,8,"c(""LGALS9"", ""IGF2"", ""RC3H1"", ""PRKAR1A"")"
"GOBP_ACTIVATION_INDUCED_CELL_DEATH_OF_T_CELLS",0.332665330661323,0.649242611489707,0.102449405629826,0.743929932489001,1.14900132083637,2,"c(""DNAJA3"", ""RPS6"")"
"GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY",0.305019305019305,0.617990696202987,0.105520936843198,-0.66702921068987,-1.15489092713844,3,"c(""DRD1"", ""CAP1"", ""CALM3"")"
"GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",0.334622823984526,0.650408289040122,0.0999276973731092,-0.556097820490373,-1.1328438837281,5,"APAF1"
"GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",0.20335429769392,0.51438026948231,0.139599673451922,-0.376253858510337,-1.19350077980109,24,"c(""EIF2AK3"", ""APAF1"", ""SLC1A1"", ""ROBO1"")"
"GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS_BY_CYTOCHROME_C",0.11003861003861,0.378069498069498,0.186432558434075,-0.788364446602231,-1.36497012734687,3,"APAF1"
"GOBP_ACTIVATION_OF_GTPASE_ACTIVITY",0.802845528455285,0.917091013100929,0.0565299525056311,-0.228192866678521,-0.781756717731263,33,"c(""FOXJ1"", ""TIAM1"", ""RAP1GAP"", ""SGSM2"", ""GRTP1"", ""GARNL3"", ""APC2"", ""NTRK3"", ""RASGRP1"", ""SGSM3"")"
"GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",0.952941176470588,0.980167681468966,0.0469758727821845,0.196254365421117,0.606248169793511,20,"c(""PLCG2"", ""PSPC1"", ""NLRC4"", ""MAP3K7"", ""PQBP1"", ""HEXIM1"", ""CASP6"", ""SIN3A"")"
"GOBP_ACTIVATION_OF_JANUS_KINASE_ACTIVITY",0.288577154308617,0.603297329803269,0.11146266692298,0.762000932111232,1.17691201716406,2,"c(""PIBF1"", ""JAK2"")"
"GOBP_ACTIVATION_OF_MEIOSIS",0.492,0.752348559381588,0.0799858801499946,-0.747437092264678,-0.999957106406513,1,"MSX2"
"GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY",0.291497975708502,0.606404966674666,0.11146266692298,-0.468697896733611,-1.15426224728062,10,"c(""MALT1"", ""TRAF4"", ""TLR3"", ""IRAK1"", ""TRAF6"")"
"GOBP_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY",0.0947775628626693,0.354560418548713,0.20207170902116,-0.683400683866957,-1.39217644149657,5,"c(""NMUR1"", ""AVPR1A"", ""PHB2"", ""ARHGAP6"", ""PLCB2"")"
"GOBP_ACTIVATION_OF_PHOSPHOLIPASE_D_ACTIVITY",0.341698841698842,0.655996997415113,0.0985499803531691,-0.652006522571836,-1.12888072259162,3,"c(""ARF4"", ""ARL1"")"
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY",0.268498942917548,0.579616765663277,0.119887845115423,-0.318079309731653,-1.15388829761927,46,"c(""DRD2"", ""MALT1"", ""PIK3CA"", ""WNT11"", ""ADRA2B"", ""SLC1A1"", ""TRAF4"", ""MAP2K1"", ""CDK5R1"", ""PHB2"", ""MOB2"", ""PARK7"", ""MOB3B"", ""TLR3"", ""NTRK3"")"
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_B_ACTIVITY",0.576923076923077,0.800189565532526,0.0723570851036907,-0.372474194454956,-0.917292148613954,10,"c(""ADRA2B"", ""SLC1A1"", ""PARK7"", ""NTRK3"")"
"GOBP_ACTIVATION_OF_PROTEIN_KINASE_C_ACTIVITY",0.417495029821074,0.709469636668667,0.0886261133285098,-0.692713997203666,-1.06206645029338,2,"c(""PHB2"", ""ABL1"")"
"GOBP_ACTIVATION_OF_STORE_OPERATED_CALCIUM_CHANNEL_ACTIVITY",0.506198347107438,0.762627004365879,0.0802023444698144,0.583183382339716,1.0105478194345,3,"c(""PLCG2"", ""CRACR2A"")"
"GOBP_ACTIVATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY",0.568181818181818,0.795915738932879,0.0741758965588009,0.543910468391353,0.942495198672003,3,"c(""ANGPT4"", ""GREM1"")"
"GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY",0.524950099800399,0.772996903715316,0.0764767053228531,0.342367688486006,0.95047020148002,14,"c(""ZC3H3"", ""LEMD3"", ""SMAD4"", ""MEN1"", ""ACVR1"", ""SMAD7"", ""ACVR2A"", ""CSNK2B"")"
"GOBP_ACTOMYOSIN_CONTRACTILE_RING_ORGANIZATION",0.226452905811623,0.539323082502107,0.128142916898415,0.793544886429918,1.22563171991255,2,"c(""RACGAP1"", ""PDCD6IP"")"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE",0.237903225806452,0.550944680851064,0.125033367555272,-0.402035144594161,-1.20725520187012,19,"c(""CREB3L3"", ""IL6ST"", ""PLSCR1"", ""VNN1"", ""PTGS2"", ""ASS1"")"
"GOBP_ACUTE_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS",0.910931174089069,0.963942082096522,0.0504983044100709,0.322731940057845,0.612856591327059,4,"EXT1"
"GOBP_ACUTE_PHASE_RESPONSE",0.0851063829787234,0.338146359151008,0.213927855492356,-0.691413452567936,-1.40849949776503,5,"c(""PLSCR1"", ""PTGS2"", ""ASS1"", ""ITIH4"")"
"GOBP_ACYLGLYCEROL_HOMEOSTASIS",0.0565302144249513,0.288228887646072,0.266350657088526,-0.646516823854329,-1.53729532791695,8,"c(""PNPLA8"", ""ABCG5"", ""C1QTNF3"", ""HNF4A"")"
"GOBP_ACYLGLYCEROL_TRANSPORT",0.95190380761523,0.980167681468966,0.0480220415968251,0.355600434985242,0.549225608009894,2,"c(""DENND5B"", ""LPCAT3"")"
"GOBP_ADAPTATION_OF_SIGNALING_PATHWAY",0.0657640232108317,0.306429367252184,0.245041785430996,-0.713179742061778,-1.45284027202451,5,"c(""DRD2"", ""RS1"")"
"GOBP_ADAPTIVE_THERMOGENESIS",0.641975308641975,0.83444400238711,0.0678338263479455,-0.245032198854715,-0.884641479094519,44,"c(""UCP1"", ""FABP5"", ""LGR4"", ""ATF4"", ""PER2"", ""CAV1"", ""PHOX2B"", ""TRPV4"", ""EBF2"", ""TRPV2"", ""DYNC1H1"", ""NOVA1"")"
"GOBP_ADENOHYPOPHYSIS_DEVELOPMENT",0.00498978339784818,0.0857192263714551,0.407017918923954,-0.738809969988571,-1.7732981283842,9,"c(""DRD2"", ""SOX2"", ""SLC6A3"", ""WNT4"", ""PITX2"", ""LHX3"")"
"GOBP_ADENOSINE_METABOLIC_PROCESS",0.705765407554672,0.870768584486278,0.0615706755421678,-0.567160011546148,-0.869567559833883,2,"NT5E"
"GOBP_ADENOSINE_TO_INOSINE_EDITING",0.956692913385827,0.98166367964428,0.0469758727821845,-0.276811643746134,-0.526756303102547,4,"ADAD1"
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_ADRENERGIC_RECEPTOR_SIGNALING_PATHWAY",0.0021219726939578,0.0549691974053831,0.431707695803346,-0.836972723186255,-1.8146098194753,6,"c(""DRD2"", ""ADRA2B"", ""ADRA1B"", ""DRD1"")"
"GOBP_ADENYLATE_CYCLASE_ACTIVATING_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY",0.439363817097416,0.725934446472267,0.0857844408075645,-0.685878514836104,-1.05158631487895,2,"c(""DRD1"", ""ADCY5"")"
